customer_id,name,num_orders
C85,"Nathan Moore",6
C37,"Jose Harris",4
C63,"Steven Pratt",4
C113,"Nicholas Hernandez",3
C116,"William Skinner",3
C135,"Robert Lee",3
C147,"Emily Freeman",3
C169,"Andrea Mitchell",3
C171,"Christina Rodriguez",3
C187,"Alicia Briggs",3
C23,"Joseph Hart",3
C31,"Jeanette Taylor",3
C52,"Joshua Burke",3
C55,"Paul Andrews",3
C101,"Melissa Carson",2
C105,"Stephanie Reed",2
C121,"Megan Page",2
C124,"Alex Wright",2
C127,"Melanie Le",2
C128,"Paul Diaz",2
C131,"Cassandra Smith",2
C134,"Sara Caldwell",2
C139,"Teresa Williamson",2
C14,"Jose Wolfe",2
C154,"Jade Torres",2
C155,"Richard Olson",2
C156,"Charles Bird",2
C162,"Thomas Collins",2
C177,"Kim Cooper",2
C178,"Robert Russell",2
C18,"Jackie Martin",2
C180,"Michael Silva",2
C181,"Gabriel Bauer",2
C19,"Joseph Kemp",2
C196,"Kyle Chapman",2
C21,"Matthew Webb",2
C22,"Theresa Sloan",2
C27,"Ryan Brown",2
C29,"Kathryn Powell",2
C30,"James Abbott",2
C38,"Carol Mercado",2
C39,"Antonio Mitchell",2
C41,"Samantha Chase",2
C42,"Larry Mills",2
C46,"Thomas Ford",2
C50,"Todd Gentry",2
C66,"Jeffrey Davidson",2
C73,"Matthew Smith",2
C78,"Robert Kennedy",2
C81,"Dr. Robert Martin",2
C9,"Tiffany Stewart",2
C90,"Dawn Wallace",2
C97,"Jon James",2
C1,"Latoya Olson",1
C100,"Stephen Davis",1
C103,"Gary Martinez",1
C107,"Marcus Ortiz",1
C108,"Matthew Kramer",1
C11,"Leslie Mathis",1
C114,"Ms. Hannah Page DDS",1
C119,"Diana Day",1
C12,"Stephanie Brown",1
C125,"Laurie Hernandez",1
C130,"Melissa Shields",1
C132,"Amber Turner",1
C138,"Michael Dawson",1
C140,"Debra Neal",1
C143,"Heidi Roberts",1
C145,"Krista Roberts",1
C148,"Lisa Wilson",1
C149,"Ashley Cole",1
C150,"Amanda Johnson",1
C152,"Kendra Smith",1
C158,"Heidi Oliver",1
C159,"James Garcia",1
C16,"David Patterson",1
C163,"Melissa Vaughn",1
C164,"John Harris",1
C166,"Diana Mccoy",1
C17,"Kristen Lowe",1
C170,"Renee Roberts",1
C173,"William Bell",1
C174,"David Moore",1
C175,"Brittany Miles",1
C176,"Andrea Smith",1
C179,"Jamie Gonzales",1
C186,"Dale Marshall",1
C188,"Brandi Parker",1
C189,"Benjamin Macdonald",1
C193,"Daniel Miller",1
C194,"Isabella Bailey",1
C195,"Corey Mills",1
C198,"James Cochran",1
C199,"Ashley Chung",1
C2,"Brandon Hernandez",1
C200,"Amanda Sanders",1
C26,"Jeffrey Camacho",1
C28,"Micheal Allen",1
C32,"Christopher Stein",1
C34,"Christopher Reyes",1
C35,"Michael Sanders",1
C4,"Abigail Gross",1
C40,"Sandra Hughes",1
C44,"Julie Khan",1
C45,"Eric Mullen",1
C49,"Kathryn Collins",1
C53,"Lawrence Carrillo",1
C58,"Randy Wilkins",1
C59,"Dana Anderson MD",1
C6,"Ashley Mckinney",1
C60,"Jeffrey Johnston",1
C64,"Taylor Moore",1
C67,"Austin Ayers",1
C69,"Melody Wright",1
C7,"Ruth Gonzales",1
C70,"Joanne Davis",1
C71,"Luke Davis MD",1
C76,"Miranda Jones",1
C77,"Mrs. Deborah Kelly MD",1
C8,"Stephanie Griffin",1
C80,"Mary Hudson",1
C82,"Andrea Lopez",1
C83,"Stephanie Ross",1
C84,"Elizabeth Murphy",1
C87,"Michelle Davis",1
C89,"Scott Fields",1
C96,"Robert Roberts",1
C98,"Kristina Watson",1
